Source,Diagnosis,Phase,BL,year1,year2,year3,year4,year5,m3,m6,m12,m24,m36,m48
MRI,N,ADNI1,89,76,61,47,20,,,,,,,
MRI,SMC,ADNI1,0,0,0,0,0,,,,,,,
MRI,EMCI,ADNI1,0,0,0,0,0,,,,,,,
MRI,LMCI,ADNI1,96,76,55,36,15,,,,,,,
MRI,AD,ADNI1,0,0,0,0,0,,,,,,,
MRI,N,ADNIGO/2,175,,,,,,167,173,166,141,4,6
MRI,SMC,ADNIGO/2,103,,,,,,53,10,24,22,0,0
MRI,EMCI,ADNIGO/2,303,,,,,,287,151,261,220,70,46
MRI,LMCI,ADNIGO/2,157,,,,,,150,153,146,113,7,2
MRI,AD,ADNIGO/2,144,,,,,,117,103,96,25,0,0
TBMSyn,N,ADNI1,,10,8,7,1,,,,,,,
TBMSyn,SMC,ADNI1,,0,0,0,0,,,,,,,
TBMSyn,EMCI,ADNI1,,0,0,0,0,,,,,,,
TBMSyn,LMCI,ADNI1,,3,1,0,0,,,,,,,
TBMSyn,AD,ADNI1,,0,0,0,0,,,,,,,
TBMSyn,N,ADNIGO/2,,,,,,,162,162,152,117,3,0
TBMSyn,SMC,ADNIGO/2,,,,,,,53,11,22,4,0,0
TBMSyn,EMCI,ADNIGO/2,,,,,,,284,259,261,198,57,30
TBMSyn,LMCI,ADNIGO/2,,,,,,,143,144,133,99,2,0
TBMSyn,AD,ADNIGO/2,,,,,,,113,101,92,25,0,0
BSI,N,ADNI1,,0,0,0,0,,,,,,,
BSI,SMC,ADNI1,,0,0,0,0,,,,,,,
BSI,EMCI,ADNI1,,0,0,0,0,,,,,,,
BSI,LMCI,ADNI1,,0,0,0,0,,,,,,,
BSI,AD,ADNI1,,0,0,0,0,,,,,,,
BSI,N,ADNIGO/2,,,,,,,143,143,128,62,1,0
BSI,SMC,ADNIGO/2,,,,,,,41,0,0,0,0,0
BSI,EMCI,ADNIGO/2,,,,,,,149,228,209,97,24,0
BSI,LMCI,ADNIGO/2,,,,,,,133,126,116,42,0,0
BSI,AD,ADNIGO/2,,,,,,,95,49,43,11,0,0
Longitudinal Freesurfer,N,ADNI1,37,7,1,0,0,,,,,,,
Longitudinal Freesurfer,SMC,ADNI1,0,0,0,0,0,,,,,,,
Longitudinal Freesurfer,EMCI,ADNI1,0,0,0,0,0,,,,,,,
Longitudinal Freesurfer,LMCI,ADNI1,44,5,0,0,0,,,,,,,
Longitudinal Freesurfer,AD,ADNI1,0,0,0,0,0,,,,,,,
Longitudinal Freesurfer,N,ADNIGO/2,104,,,,,,89,98,100,0,0,0
Longitudinal Freesurfer,SMC,ADNIGO/2,0,,,,,,0,0,0,0,0,0
Longitudinal Freesurfer,EMCI,ADNIGO/2,131,,,,,,123,115,133,0,0,0
Longitudinal Freesurfer,LMCI,ADNIGO/2,69,,,,,,66,66,67,0,0,0
Longitudinal Freesurfer,AD,ADNIGO/2,20,,,,,,20,20,21,0,0,0
Cross-sectional Freesurfer,N,ADNI1,24,18,15,8,0,,,,,,,
Cross-sectional Freesurfer,SMC,ADNI1,0,0,0,0,0,,,,,,,
Cross-sectional Freesurfer,EMCI,ADNI1,0,0,0,0,0,,,,,,,
Cross-sectional Freesurfer,LMCI,ADNI1,17,9,7,1,0,,,,,,,
Cross-sectional Freesurfer,AD,ADNI1,0,0,0,0,0,,,,,,,
Cross-sectional Freesurfer,N,ADNIGO/2,163,,,,,,146,150,146,112,2,0
Cross-sectional Freesurfer,SMC,ADNIGO/2,95,,,,,,45,10,20,4,0,0
Cross-sectional Freesurfer,EMCI,ADNIGO/2,292,,,,,,273,242,246,184,51,24
Cross-sectional Freesurfer,LMCI,ADNIGO/2,148,,,,,,142,145,130,91,1,0
Cross-sectional Freesurfer,AD,ADNIGO/2,130,,,,,,101,90,77,21,0,0
